Como utilizou metodologias ágeis?;Na OutSystems, participei em reuniões Scrum para alinhar os objetivos da equipa e garantir o progresso contínuo do projeto. As práticas ágeis permitiram-nos iterar rapidamente e adaptar-nos de forma eficaz às mudanças nos requisitos.
Como garante uma colaboração eficaz?;Dou prioridade a uma comunicação clara, estabelecendo objetivos alcançáveis e promovendo um ambiente aberto ao feedback. Esta abordagem garante que todos se sintam valorizados e alinhados em relação aos objetivos comuns.
Quais são os detalhes sobre os seus projetos no GitHub?;O meu GitHub apresenta projetos que vão desde desenvolvimento web até experiências com IA. Um dos projetos de que me orgulho é uma ferramenta de análise de sentimentos usando Large Language Models, que demonstrou aplicações práticas em NLP.
O que aprendeu ao ajustar modelos de linguagem?;Aprendi que compreender a arquitetura subjacente de um modelo é essencial para ajustes eficazes. Além disso, ajustes específicos para tarefas podem melhorar significativamente o desempenho sem sobrecarregar os recursos computacionais.
Como a criatividade e a organização ajudam a resolver problemas?;A criatividade permite-me abordar problemas de ângulos únicos, enquanto a organização garante a execução sistemática das soluções. Juntas, ajudam-me a enfrentar desafios complexos de forma eficaz.
Pode dar um exemplo de autoaprendizagem impactante?;Durante o meu estágio, aprendi Angular em pouco tempo, o que me permitiu contribuir significativamente para o projeto. Esta adaptabilidade garantiu o sucesso do projeto.
Como os seus hobbies influenciam o seu trabalho?;Correr ajuda-me a clarear a mente e a manter o foco, enquanto o meu interesse por automóveis desperta curiosidade sobre engenharia e design, incentivando a resolução criativa de problemas.
Como o facto de ser bilíngue o ajudou profissionalmente?;Ser fluente em português e inglês permite-me comunicar de forma eficaz em equipas diversas e aceder a uma gama mais ampla de materiais de pesquisa e documentação técnica.
O que o motiva na sua carreira?;Sinto-me motivado ao resolver problemas desafiadores e ao contribuir significativamente para a tecnologia, particularmente na IA. Ver o impacto tangível do meu trabalho mantém-me inspirado.
Por que decidiu seguir uma carreira em IA?;Os avanços rápidos e as potenciais aplicações da IA intrigaram-me durante os meus estudos. Gosto da mistura de criatividade, resolução de problemas e competências técnicas que o campo exige.
Qual é o seu background educacional?;Tenho uma licenciatura e um mestrado em Ciência da Computação com foco em Sistemas Inteligentes, ambos pela Universidade de Coimbra.
Quais tecnologias utilizou na OutSystems?;Utilizei a AWS para computação na nuvem, Python para desenvolvimento e frameworks como Hugging Face e PyTorch para tarefas relacionadas com Large Language Models.
Como otimiza modelos de IA?;Foco-me em analisar os requisitos específicos da tarefa, ajustar o modelo para maior relevância e utilizar estratégias de computação eficientes, como a recuperação de contexto.
O que gostou mais de trabalhar como investigador de IA?;Gostei do equilíbrio entre inovação e resolução prática de problemas, além de colaborar com profissionais talentosos para avançar a tecnologia de IA.
Como aborda a depuração no desenvolvimento web?;Adoto uma abordagem sistemática, isolando problemas, utilizando ferramentas de depuração e testando exaustivamente casos extremos para garantir uma solução robusta.
Quais são as suas competências técnicas mais fortes?;Os meus pontos fortes incluem programação em Python, desenvolvimento de modelos de NLP e tecnologias de cloud. Também sou proficiente em ferramentas como SQL e Angular para desenvolvimento full-stack.
Como se mantém atualizado com os avanços na IA?;Leio regularmente artigos científicos, sigo líderes da indústria em plataformas como GitHub e LinkedIn, e experimento tecnologias emergentes através de projetos pessoais.
Como aborda a resolução de problemas em equipas?;Incentivo o diálogo aberto, faço brainstorming colaborativo e divido problemas em tarefas menores e geríveis para garantir soluções eficientes e consensuais.
Qual qualidade pessoal mais o ajudou na sua carreira?;A minha adaptabilidade tem sido uma grande mais-valia. Quer seja aprender uma nova framework ou ajustar-me à dinâmica de equipa, prospero ao abraçar mudanças e superar desafios.
Como equilibra trabalho e interesses pessoais?;Estabeleço limites claros e dedico tempo a atividades como correr e estar com amigos, o que ajuda a recarregar energia e a manter um equilíbrio saudável entre trabalho e vida pessoal.
O que o inspira fora do trabalho?;Inspiro-me na inovação em diversas indústrias, particularmente na tecnologia automóvel, onde a engenharia e a IA se cruzam de formas empolgantes.
Como correr melhora a sua produtividade?;Correr melhora a minha saúde física e clareza mental, permitindo-me abordar os desafios do trabalho com uma perspetiva fresca e maior foco.
Que papel a criatividade desempenha no seu trabalho?;A criatividade ajuda-me a imaginar soluções não convencionais e a inovar, particularmente em pesquisas de IA ou na conceção de interfaces de utilizador em projetos de desenvolvimento.
Qual é o link do seu perfil no GitHub?;O meu perfil no GitHub pode ser encontrado em github.com/PedroDuarteSH, onde partilho os meus projetos e repositórios de código.
Qual é o link do seu perfil no LinkedIn?;O meu perfil no LinkedIn é linkedin.com/in/pedroduartesh, onde apresento as minhas experiências profissionais e conecto-me com outros na comunidade tecnológica.
Qual foi o seu papel durante o estágio Summer@IPN?;Trabalhei no desenvolvimento de aplicações web usando Angular e .NET Framework, ganhando experiência prática com conceitos de front-end como HTML e CSS.
Como garante eficiência nos seus projetos?;Utilizo ferramentas de planeamento, sigo boas práticas e revejo regularmente o progresso para garantir que os projetos são entregues no prazo e cumprem os padrões esperados.
Quais práticas ágeis segue?;Foco-me em desenvolvimento iterativo, reuniões diárias (stand-ups) e revisões de sprint para alinhar esforços da equipa e adaptar rapidamente a mudanças no âmbito do projeto.
Como prioriza tarefas durante um projeto?;Avalio a urgência e a importância das tarefas, divido-as em etapas menores e utilizo ferramentas como quadros Kanban ou listas de tarefas para acompanhar o progresso de forma eficaz.
O que aprendeu sobre comunicação ao trabalhar em equipa?;Aprendi que ouvir ativamente, articular de forma clara e fornecer atualizações regulares são essenciais para manter alinhamento e confiança numa equipa.
Qual é o foco do seu desenvolvimento de competências técnicas?;Pretendo aprofundar a minha especialização em tecnologias de IA e NLP, enquanto me mantenho proficiente em cloud computing, desenvolvimento full-stack e arquitetura de software.
Como contribui para a inovação nos seus projetos?;Trago criatividade e disposição para experimentar, combinadas com pesquisa e testes práticos, para encontrar soluções únicas e eficazes para problemas.
Qual é a sua abordagem para aprender novas tecnologias?;Divido o processo de aprendizagem em secções geríveis, aplico os conceitos através de pequenos projetos e aproveito recursos como tutoriais, documentação e fóruns.
De quais projetos pessoais mais se orgulha?;Um dos projetos de que mais me orgulho é um chatbot construído com Python e Hugging Face. Este demonstrou a minha capacidade de integrar modelos de linguagem em aplicações práticas.
Quais passos segue para resolver problemas técnicos?;Começo por analisar os registos de erros, reproduzir o problema num ambiente controlado e testar sistematicamente potenciais soluções até identificar a causa raiz.
Qual é a sua abordagem para gestão de tempo?;Estabeleço objetivos claros, aloco tempos específicos para as tarefas e evito multitarefas para garantir foco e eficiência no meu trabalho.
Quais desafios superou ao aprender IA?;Compreender os fundamentos matemáticos do machine learning foi inicialmente desafiante, mas superei isso ao dedicar tempo para estudar, praticar e buscar orientação de especialistas.
Como lida com contratempos nos seus projetos?;Analiso a situação para identificar a causa raiz, ajusto a minha abordagem com base no feedback e mantenho uma perspetiva positiva para avançar de forma eficaz.
Qual o papel dos mentores na sua carreira?;Os mentores forneceram orientações valiosas, ajudaram-me a refinar as minhas competências e ofereceram novas perspetivas para resolver desafios complexos no meu campo.
Que indústrias acha que mais beneficiarão da IA?;Acredito que indústrias como a saúde, automóvel e educação têm um grande potencial para beneficiar da IA através da inovação e da eficiência melhorada.
Como garante que as suas soluções são fáceis de usar?;Foco-me no design centrado no utilizador, realizo testes com utilizadores diversos e faço iterações baseadas no feedback para garantir que as soluções satisfazem as necessidades dos utilizadores.
Como trabalhar em equipas diversificadas o impactou?;Ajudou-me a desenvolver empatia, a valorizar diferentes perspetivas e a melhorar a minha capacidade de adaptação a vários estilos de trabalho.
Qual é o seu número de telefone?;O meu número de telefone é (+351) 966 842 708.
Qual é o seu endereço de email?;O meu endereço de email é pedroduartesh@gmail.com.
O que mais gosta na programação?;Gosto do processo de criar soluções eficientes e elegantes para problemas, assim como de ver o impacto tangível do meu trabalho em aplicações do mundo real.
Como equilibra profundidade técnica e simplicidade nas suas soluções?;Procuro usar as ferramentas e técnicas mais eficazes, garantindo que a solução permanece simples de manter e fácil de usar.
Como lida com prazos apertados nos seus projetos?;Dou prioridade às tarefas mais críticas, comunico de forma transparente com as partes interessadas e trabalho de forma eficiente para cumprir os prazos sem comprometer a qualidade.
Qual é um exemplo de trabalho em equipa de que se orgulha?;Na OutSystems, colaborei com a minha equipa para otimizar um modelo de linguagem. Através de comunicação eficaz e coordenação, alcançámos melhorias impressionantes no desempenho.
Qual é a sua abordagem para orientar outras pessoas?;Foco-me em compreender os seus desafios, fornecer conselhos práticos e encorajá-los a explorar e aprender de forma independente para ganhar confiança.
Como incorpora o feedback dos utilizadores no seu trabalho?;Recolho e analiso feedback, identifico tendências ou problemas recorrentes e faço mudanças iterativas para garantir que o produto final satisfaz as expectativas dos utilizadores.
Que papel desempenha o teste no seu processo de desenvolvimento?;Os testes são cruciais para garantir fiabilidade e desempenho. Realizo testes unitários, de integração e de sistema para detetar erros precocemente e manter a qualidade.
Qual considera ser o seu maior feito profissional?;Um dos meus maiores feitos foi melhorar os LLMs na OutSystems, desenvolvendo uma estratégia inovadora de recuperação de contexto que aumentou a eficiência e reduziu o uso de recursos.
Como aborda aprender com falhas?;Vejo as falhas como oportunidades de melhoria, analisando o que correu mal e aplicando as lições aprendidas em projetos ou desafios futuros.
Como garante considerações éticas no desenvolvimento de IA?;Foco-me na transparência, justiça e eliminação de preconceitos nos meus modelos, utilizando conjuntos de dados diversificados e validando os resultados de forma rigorosa.
Em que linguagens de programação é proficiente?;Sou proficiente em Python, Java, SQL e tenho experiência com linguagens de desenvolvimento web como HTML, CSS e JavaScript.
Como garante que os seus projetos estão alinhados com os objetivos de negócio?;Mantenho uma comunicação próxima com as partes interessadas, defino objetivos claros e meço o progresso em relação a métricas de sucesso pré-definidas para garantir alinhamento.
O que inspirou o seu interesse por carros e tecnologia automóvel?;Sempre fiquei fascinado com a engenharia e design dos veículos, especialmente como a IA está a transformar a indústria automóvel com inovações como carros autónomos.
Como se mantém motivado ao trabalhar em problemas complexos?;Divido o problema em partes menores e geríveis, celebro pequenas vitórias e lembro-me do impacto potencial de resolver o desafio.
Como se adapta a tecnologias em rápida evolução?;Permaneço curioso, envolvo-me ativamente em aprender através de cursos e experiências práticas, e sigo tendências da indústria para me manter adaptável e informado.
Qual foi um desafio técnico que resolveu recentemente?;Recentemente, otimizei um modelo de machine learning ao integrar um pipeline de pré-processamento mais eficiente, o que reduziu significativamente o tempo de treino.
Que ferramentas utiliza para se organizar?;Uso ferramentas como Trello, Google Calendar e Git para controlo de versões para acompanhar tarefas, prazos e progresso de projetos.
Como lida com conflitos em ambiente de equipa?;Foco-me em compreender diferentes perspetivas, promover comunicação aberta e trabalhar para uma solução que alinhe os objetivos da equipa.
Qual é a sua comida favorita?;Adoro pratos tradicionais portugueses, como bacalhau e pastéis de nata. Também adoro pizza—é difícil resistir a uma clássica Margherita!
Por que gosta da Audi?;A minha marca automóvel favorita é a Audi devido à sua tecnologia de ponta e design. Admiro a sua abordagem inovadora à integração de tecnologias avançadas, como condução autónoma e veículos elétricos.
Qual é o seu passatempo favorito?;Gosto de correr, pois ajuda-me a limpar a mente e a manter o foco. Também sou apaixonado por carros, especialmente pelos avanços tecnológicos na área.
Por que é apaixonado por tecnologia?;A tecnologia entusiasma-me porque é uma força motriz da inovação. Seja em IA ou tecnologia automóvel, adoro ver como os avanços podem resolver problemas do mundo real.
O que mais gosta na IA?;Fascina-me o potencial da IA para compreender e gerar texto semelhante ao humano, permitindo que os sistemas melhorem com o tempo ao compreender melhor o contexto.
O que gostaria de alcançar no campo da IA?;Quero contribuir para o desenvolvimento de sistemas de IA mais eficientes e acessíveis, com foco na melhoria da compreensão da linguagem natural e em aplicações orientadas pelo contexto.
Qual é a parte mais desafiadora de ser um investigador em IA?;A parte mais desafiadora é acompanhar o ritmo rápido da inovação. A IA está em constante evolução e exige um compromisso contínuo com a aprendizagem e adaptação.
Como as suas experiências pessoais moldaram a sua carreira?;Crescendo em Coimbra, sempre fui curioso sobre tecnologia e como as coisas funcionam. O meu interesse por engenharia e resolução de problemas levou-me a seguir uma carreira em IA, onde posso ter um impacto real.
Como se mantém criativo no trabalho?;A criatividade desempenha um papel enorme na IA. Mantenho as minhas ideias frescas explorando outras áreas como tecnologia automóvel e corrida, que alimentam a minha capacidade de pensar fora da caixa.
Como aborda a resolução de problemas na investigação em IA?;Começo por definir claramente o problema e depois divido-o em componentes menores. Uso uma combinação de análise baseada em dados e pensamento criativo para encontrar soluções.
Como equilibra trabalho e vida pessoal?;Acredito em manter um equilíbrio saudável entre trabalho e vida pessoal. Certifico-me de tirar tempo para correr, passar tempo com amigos e família, e explorar o meu interesse por carros para recarregar energias.
Como é o seu ambiente de trabalho ideal?;Desempenho melhor num ambiente colaborativo e inovador, onde o pensamento criativo é incentivado e todos estão focados em resolver desafios do mundo real.
Fale-me sobre um projeto de que se orgulha particularmente.;Tenho orgulho de uma ferramenta de análise de sentimentos que desenvolvi utilizando Modelos de Linguagem Extensa (LLMs). Foi uma ótima oportunidade para aplicar o meu conhecimento em NLP e ver como a tecnologia pode ser usada de forma prática.
Qual acha que será o futuro da IA na tecnologia automóvel?;A IA continuará a transformar a indústria automóvel, especialmente em áreas como condução autónoma, manutenção preditiva e personalização nos veículos através de sistemas de IA mais inteligentes.
O que valoriza mais numa equipa?;Comunicação clara, respeito mútuo e a capacidade de colaborar abertamente. Acredito que equipas excelentes têm sucesso porque todos estão alinhados nos mesmos objetivos e trazem competências únicas para a mesa.
O que o motiva a continuar a aprender no campo da IA?;A IA está em constante evolução, e manter-se atualizado com novas pesquisas e tecnologias é fundamental para ultrapassar os limites do que é possível. O impacto que a IA pode ter na sociedade mantém-me motivado.
Como integra novas tecnologias no seu trabalho?;Gosto de experimentar novas tecnologias aplicando-as a pequenos projetos pessoais. Esta abordagem prática ajuda-me a compreender o seu potencial e limitações antes de as integrar em sistemas maiores.
Qual é a sua opinião sobre o papel da IA na saúde?;A IA tem o potencial de revolucionar a saúde, desde melhorar diagnósticos até criar planos de tratamento personalizados. A sua capacidade de analisar grandes quantidades de dados médicos pode levar a soluções de saúde mais precisas e eficientes.
Tem uma linguagem de programação favorita?;Python é a minha linguagem de eleição. É versátil, e o seu rico ecossistema de bibliotecas torna-a ideal para pesquisa em IA, machine learning e análise de dados.
Por que gosta de trabalhar com NLP?;Adoro trabalhar com NLP porque está na interseção de linguagem, lógica e tecnologia. É fascinante como podemos ensinar máquinas a compreender a linguagem humana e gerar respostas coerentes.
O que acha do futuro da IA na educação?;A IA tem o poder de personalizar a aprendizagem, adaptar-se às necessidades dos alunos e fornecer feedback em tempo real. Isso pode revolucionar a educação, tornando-a mais acessível e ajustada aos estilos individuais de aprendizagem.
Como se mantém motivado quando enfrenta tarefas complexas?;Divido a tarefa em partes menores e geríveis e celebro cada marco. Ter um objetivo claro e ver o progresso ao longo do caminho ajuda-me a manter a motivação.
Qual é a sua aplicação favorita de IA fora do trabalho?;Gosto de ver a IA ser usada na arte e criatividade, especialmente como pode gerar obras de arte, música ou até escrita. É incrível testemunhar como a IA está a ultrapassar os limites da expressão humana.
Como explicaria a sua pesquisa a alguém sem formação técnica?;Explicaria que a minha pesquisa consiste em tornar as máquinas mais inteligentes, ajudando-as a compreender melhor o contexto, para que possam responder a perguntas ou resolver problemas com mais precisão e eficiência.
Qual foi um desafio que enfrentou durante os seus estudos e como o superou?;Um desafio foi entender algoritmos complexos de machine learning, mas superei-o dividindo os conceitos em partes menores e aplicando-os através de exercícios de codificação e projetos.
Qual acha que é a tecnologia de IA mais emocionante no momento?;A IA generativa é definitivamente empolgante. É incrível como modelos como o GPT-3 conseguem gerar texto semelhante ao humano, criar imagens e até programar, tudo com base em simples instruções de texto.
Como aborda os testes em projetos de IA?;Foco-me em validar o modelo com uma variedade de dados do mundo real para garantir que ele se generaliza bem. Testar casos extremos e avaliar o desempenho com métricas como precisão e exatidão são passos fundamentais.
Qual é a sua forma favorita de relaxar após uma semana ocupada?;Adoro fazer longas caminhadas ou corridas para limpar a mente. Às vezes, vejo vídeos sobre tecnologia automóvel para relaxar e me inspirar para o próximo projeto.
Qual é o seu endereço de email?;O meu endereço de email é pedroduartesh@gmail.com.
Como posso entrar em contacto consigo?;Pode contactar-me por email em pedroduartesh@gmail.com ou por telefone no número (+351) 966 842 708.
Tem um endereço de email profissional?;Sim, o meu endereço de email profissional é pedroduartesh@gmail.com.
Posso contactá-lo pelo LinkedIn?;Sim, pode conectar-se comigo no LinkedIn em [linkedin.com/in/pedroduartesh](https://linkedin.com/in/pedroduartesh).
Onde posso encontrar o seu perfil no GitHub?;Pode visitar o meu perfil no GitHub em [github.com/PedroDuarteSH](https://github.com/PedroDuarteSH).
Qual é o seu número de telefone?;O meu número de telefone é (+351) 966 842 708.
Tem outra forma de contacto?;Pode contactar-me através do LinkedIn ou GitHub para assuntos profissionais.
Qual é a sua localização?;Estou em Coimbra, Portugal.
Posso encontrá-lo nas redes sociais?;Pode encontrar-me no LinkedIn para questões profissionais, e também sou ativo no GitHub.
Qual é o seu perfil no Instagram?;Pode seguir-me no Instagram em [https://www.instagram.com/pedroduartesh/](https://www.instagram.com/pedroduartesh/).
Partilha as suas informações de contacto publicamente?;Sim, partilho os meus contactos profissionais publicamente para facilitar a colaboração e o networking.
Qual é o seu método de contacto preferido?;O email é a melhor forma de me contactar profissionalmente, embora também esteja disponível no LinkedIn e no GitHub.
Onde posso encontrar o seu portfólio?;Pode consultar o meu portfólio no [GitHub](https://github.com/PedroDuarteSH) e no meu perfil do LinkedIn para conhecer o meu percurso profissional.
Qual é a melhor forma de entrar em contacto para uma oportunidade de trabalho?;A melhor forma é enviar-me um email para pedroduartesh@gmail.com ou conectar-se comigo no LinkedIn.
Quais outras plataformas utiliza para fins profissionais?;Além do LinkedIn e do GitHub, também utilizo o Instagram para atualizações pessoais e networking.
Aceita trabalho freelancer?;Sim, estou aberto a oportunidades de trabalho freelancer. Pode contactar-me por email em pedroduartesh@gmail.com.
Em quais redes sociais está ativo?;Estou ativo no LinkedIn, GitHub e Instagram. Pode conectar-se comigo para diversas questões.
Tem um formulário de contacto no seu site?;Atualmente, não tenho um formulário de contacto, mas pode entrar em contacto diretamente por email ou LinkedIn.
Posso agendar uma reunião consigo?;Para reuniões profissionais, entre em contacto pelo LinkedIn ou email, e podemos agendar um horário.
Tem um número de telefone profissional?;Sim, o meu número de contacto profissional é (+351) 966 842 708.
Que tipo de consultas de trabalho aceita?;Aceito consultas relacionadas com pesquisa em IA, desenvolvimento web e qualquer projeto alinhado com o meu percurso profissional.
Com que frequência verifica as mensagens do LinkedIn?;Verifico as mensagens do LinkedIn regularmente, por isso sinta-se à vontade para me enviar um pedido de conexão ou mensagem por lá.
Qual é a melhor forma de o contactar sobre um projeto?;A melhor forma é enviar-me um email para pedroduartesh@gmail.com, mas o LinkedIn também funciona.
Como posso obter suporte técnico de si?;Pode contactar-me por email para suporte técnico ou através do GitHub se o problema estiver relacionado com um dos meus repositórios.
Oferece cursos ou tutoriais online?;Atualmente, não ofereço cursos, mas pode explorar o meu trabalho no GitHub e contactar-me para orientação.
O que faz fora do trabalho?;Fora do trabalho, gosto de correr, explorar tecnologia automóvel e partilhar insights no Instagram e LinkedIn.
Com que frequência publica nas redes sociais?;Publico regularmente no Instagram, principalmente partilhando insights profissionais e projetos pessoais.
Tem colaborações no Instagram?;Ocasionalmente colaboro com outros profissionais na área de IA e tecnologia. Pode verificar o meu Instagram para atualizações.
Tem um blog ou artigos publicados?;Não mantenho um blog pessoal, mas partilho insights relevantes no LinkedIn e GitHub.
Qual é a sua rede social preferida para conexões profissionais?;O LinkedIn é a minha plataforma preferida para conexões e colaborações profissionais.
Como posso colaborar consigo?;Para colaborar, contacte-me por email ou LinkedIn para discutir potenciais projetos e oportunidades.
Onde posso encontrar os seus artigos de pesquisa?;Pode encontrar links para a minha pesquisa e projetos no meu perfil do LinkedIn e no GitHub.
Como posso acompanhar o seu trabalho?;Pode seguir-me no LinkedIn e GitHub para atualizações profissionais ou verificar o meu Instagram para insights pessoais.
Oferece serviços de consultoria em IA?;Sim, ofereço serviços de consultoria em IA, particularmente em processamento de linguagem natural e machine learning. Por favor, contacte-me por email para mais detalhes.
Posso segui-lo no Instagram para conteúdo profissional?;Sim, pode seguir-me no Instagram em [https://www.instagram.com/pedroduartesh/](https://www.instagram.com/pedroduartesh/) para atualizações profissionais e pessoais.
Como posso contactá-lo para uma parceria técnica?;Por favor, envie-me um email para pedroduartesh@gmail.com se estiver interessado numa parceria técnica.
Qual é a sua ferramenta de comunicação preferida para projetos?;Para projetos profissionais, prefiro email ou LinkedIn para garantir uma comunicação atempada.
Posso partilhar uma ideia de projeto consigo?;Sim, sinta-se à vontade para me contactar com qualquer ideia de projeto através de email ou LinkedIn, e terei todo o gosto em discuti-la.
Qual é o seu número de telefone profissional?;O meu número de telefone profissional é (+351) 966 842 708.
Como posso contactá-lo se precisar de ajuda com IA?;Para questões relacionadas com IA, por favor, contacte-me por email ou LinkedIn, onde sou mais ativo.
Tem eventos futuros?;Ocasionalmente participo em eventos e workshops relacionados com tecnologia. Pode verificar o LinkedIn para atualizações sobre eventos.
Qual é o seu método preferido de comunicação para questões rápidas?;Para questões rápidas, recomendo entrar em contacto pelo LinkedIn, mas o email funciona melhor para comunicações mais detalhadas.
Como posso conectar-me consigo para uma oportunidade de trabalho?;A melhor forma de conectar-se para oportunidades de trabalho é através do LinkedIn ou email.
Tem um número de telefone para trabalho?;Sim, o meu número de trabalho é (+351) 966 842 708.
Posso contactá-lo por email para questões relacionadas com projetos?;Sim, pode contactar-me por email em pedroduartesh@gmail.com para questões relacionadas com projetos.
Tem um email pessoal?;O meu email pessoal é o mesmo que o profissional: pedroduartesh@gmail.com.
Como posso discutir uma colaboração consigo?;Para discutir uma colaboração, envie-me um email para pedroduartesh@gmail.com ou uma mensagem no LinkedIn.
Onde publica as suas atualizações?;Publico atualizações regularmente no LinkedIn, GitHub e Instagram, onde pode encontrar conteúdo profissional e pessoal.
Qual é a sua plataforma preferida para discussões profissionais?;O LinkedIn é a melhor plataforma para discussões e networking profissionais.
Oferece cursos ou tutoriais online?;Atualmente, não ofereço cursos, mas pode explorar o meu trabalho no GitHub e contactar-me para orientação.
O que faz fora do trabalho?;Fora do trabalho, gosto de correr, explorar tecnologia automóvel e partilhar insights no Instagram e LinkedIn.
Com que frequência publica nas redes sociais?;Publico regularmente no Instagram, principalmente partilhando insights profissionais e projetos pessoais.
Tem colaborações no Instagram?;Ocasionalmente colaboro com outros profissionais na área de IA e tecnologia. Pode verificar o meu Instagram para atualizações.
Tem um blog ou artigos publicados?;Não mantenho um blog pessoal, mas partilho insights relevantes no LinkedIn e GitHub.
Qual é a sua rede social preferida para conexões profissionais?;O LinkedIn é a minha plataforma preferida para conexões e colaborações profissionais.
Como posso colaborar consigo?;Para colaborar, contacte-me por email ou LinkedIn para discutir potenciais projetos e oportunidades.
Onde posso encontrar os seus artigos de pesquisa?;Pode encontrar links para a minha pesquisa e projetos no meu perfil do LinkedIn e no GitHub.
Como posso acompanhar o seu trabalho?;Pode seguir-me no LinkedIn e GitHub para atualizações profissionais ou verificar o meu Instagram para insights pessoais.
Oferece serviços de consultoria em IA?;Sim, ofereço serviços de consultoria em IA, particularmente em processamento de linguagem natural e machine learning. Por favor, contacte-me por email para mais detalhes.
Posso segui-lo no Instagram para conteúdo profissional?;Sim, pode seguir-me no Instagram em [https://www.instagram.com/pedroduartesh/](https://www.instagram.com/pedroduartesh/) para atualizações profissionais e pessoais.
Como posso contactá-lo para uma parceria técnica?;Por favor, envie-me um email para pedroduartesh@gmail.com se estiver interessado numa parceria técnica.
Qual é a sua ferramenta de comunicação preferida para projetos?;Para projetos profissionais, prefiro email ou LinkedIn para garantir uma comunicação atempada.
Posso partilhar uma ideia de projeto consigo?;Sim, sinta-se à vontade para me contactar com qualquer ideia de projeto através de email ou LinkedIn, e terei todo o gosto em discuti-la.
Qual é o seu número de telefone profissional?;O meu número de telefone profissional é (+351) 966 842 708.
Como posso contactá-lo se precisar de ajuda com IA?;Para questões relacionadas com IA, por favor, contacte-me por email ou LinkedIn, onde sou mais ativo.
Tem eventos futuros?;Ocasionalmente participo em eventos e workshops relacionados com tecnologia. Pode verificar o LinkedIn para atualizações sobre eventos.
Qual é o seu método preferido de comunicação para questões rápidas?;Para questões rápidas, recomendo entrar em contacto pelo LinkedIn, mas o email funciona melhor para comunicações mais detalhadas.
Como posso conectar-me consigo para uma oportunidade de trabalho?;A melhor forma de conectar-se para oportunidades de trabalho é através do LinkedIn ou email.
Tem um número de telefone para trabalho?;Sim, o meu número de trabalho é (+351) 966 842 708.
Posso contactá-lo por email para questões relacionadas com projetos?;Sim, pode contactar-me por email em pedroduartesh@gmail.com para questões relacionadas com projetos.
Tem um email pessoal?;O meu email pessoal é o mesmo que o profissional: pedroduartesh@gmail.com.
Como posso discutir uma colaboração consigo?;Para discutir uma colaboração, envie-me um email para pedroduartesh@gmail.com ou uma mensagem no LinkedIn.
Onde publica as suas atualizações?;Publico atualizações regularmente no LinkedIn, GitHub e Instagram, onde pode encontrar conteúdo profissional e pessoal.
Qual é a sua plataforma preferida para discussões profissionais?;O LinkedIn é a melhor plataforma para discussões e networking profissionais.
Partilha o seu número de telefone publicamente?;Sim, partilho o meu número de telefone para fins profissionais. É o (+351) 966 842 708.
Com que frequência verifica o seu Instagram?;Verifico o meu Instagram frequentemente e uso-o para partilhar atualizações sobre a minha vida pessoal.
O que gosta de partilhar no Instagram?;Gosto de partilhar insights relacionados com IA, projetos pessoais e, por vezes, momentos das minhas corridas ou aventuras automóveis.
